symbol,date,close,volume,adj_close
TSLA,2024-04-23,99.70226901075354,14569993,99.89771029482334
TSLA,2024-04-24,99.56411721737643,13570420,99.49035997046022
TSLA,2024-04-25,99.87915890036656,6242188,99.69721849651727
TSLA,2024-04-26,99.83040240520236,7831526,99.76324246022554
TSLA,2024-04-29,99.69386933803551,14744179,99.72068246810282
TSLA,2024-04-30,100.01857963646695,6758748,99.97763073936586
TSLA,2024-05-01,100.37081175745189,5351078,99.99986981470758
TSLA,2024-05-02,99.56713073255895,13781869,99.92426631675286
TSLA,2024-05-03,100.05065386775044,5349416,100.1701978988681
TSLA,2024-05-06,100.1080952998208,13248584,100.04487190759939
TSLA,2024-05-07,100.13379278383186,5753995,99.96342834204742
TSLA,2024-05-08,100.14406509606016,11630513,100.15553029124196
TSLA,2024-05-09,100.18224933474549,10096448,100.32447700325329
TSLA,2024-05-10,100.1155223842135,6296502,100.30750981920397
TSLA,2024-05-13,100.47704636085255,14049603,100.37797682256708
TSLA,2024-05-14,100.47860897330244,6794290,100.37289906493221
TSLA,2024-05-15,100.76209106757086,14400132,100.60658334393162
TSLA,2024-05-16,100.55606533372898,5217347,100.73984486240472
TSLA,2024-05-17,100.89736500270209,6237894,101.11954944714734
TSLA,2024-05-20,101.3017007884859,4114142,101.00916673252296
TSLA,2024-05-21,100.96403142054413,3551746,101.1765961412729
TSLA,2024-05-22,101.2186389831033,12081516,101.21872236255396
TSLA,2024-05-23,101.53066531040245,3469936,101.54693844778797
TSLA,2024-05-24,101.71437523503138,7062355,101.57206654539459
TSLA,2024-05-27,101.94511959656083,2383647,101.64675968661044
TSLA,2024-05-28,101.15324580720653,11090359,101.32340931079315
TSLA,2024-05-29,101.80938616257595,7913426,101.74918584665289
TSLA,2024-05-30,101.69669235363111,3659516,101.831729845899
TSLA,2024-05-31,101.28429937164042,4489501,101.48532443550474
TSLA,2024-06-03,101.68990331355506,9110411,101.3688026639727
TSLA,2024-06-04,101.58121999737403,14074362,101.54128622427376
TSLA,2024-06-05,101.86347930948534,11084230,101.4651966565395
TSLA,2024-06-06,101.2801050597603,9218890,101.44581146612317
TSLA,2024-06-07,101.78716490698076,8077307,101.46678049500784
TSLA,2024-06-10,101.71739733317905,14595358,101.63971175410127
TSLA,2024-06-11,101.33442010326789,8282825,101.09695277084482
